101	FI+PGH	Out (LEM) | NC (CSM)	+ΔΘG Inner LEM Abort Guidance Signal	201	FI-PGL	Out (LEM) | NC (CSM)	-ΔΘG Inner LEM Abort Guidance Signal
102	FI+PGL	Out (LEM) | NC (CSM)	+ΔΘG Inner LEM Abort Guidance Signal	202	FI-PGH	Out (LEM) | NC (CSM)	-ΔΘG Inner LEM Abort Guidance Signal
103	+4VLO	In	Inner	203		Spare	
104	FIP-HI	In (LEM) | NC (CSM)	Inner	204		Spare	
105	+4VLO	In	Middle	205	FIP+HI	In (LEM) | NC (CSM)	Inner
106	FMP-HI	In (LEM) | NC (CSM)	Middle	206		Spare	
107	FM+PGH	Out (LEM) | NC (CSM)	+ΔΘG Middle LEM Abort Guidance Signal	207	FMP+HI	In (LEM) | NC (CSM)	Middle
108	FM+PGL	Out (LEM) | NC (CSM)	+ΔΘG Middle LEM Abort Guidance Signal	208	FM-PGL	Out (LEM) | NC (CSM)	-ΔΘG Middle LEM Abort Guidance Signal
109	FO+PGH	Out (LEM) | NC (CSM)	+ΔΘG Outer LEM Abort Guidance Signal	209	FM-PGH	Out (LEM) | NC (CSM)	-ΔΘG Middle LEM Abort Guidance Signal
110	FO+PGL	Out (LEM) | NC (CSM)	+ΔΘG Outer LEM Abort Guidance Signal	210		Spare	
111	25KPSH	Out	25.6 KPPS Sync to +4V Power Supply	211	PS25KH	In	
112	25KPSL	Out	25.6 KPPS Sync to +4V Power Supply	212	PS25KL	In	
113	+4VLO	In		213	+4VLO	In	Outer
114	FOP+HI	In (LEM) | NC (CSM)	Outer	214		Spare	
115	FO-PGH	Out (LEM) | NC (CSM)	-ΔΘG Outer LEM Abort Guidance Signal	215	IJMPA	Out (LEM) | NC (CSM)	Abort Guidance Interconnections for LEM Only | 
116	FO-PGL	Out (LEM) | NC (CSM)	-ΔΘG Outer LEM Abort Guidance Signal	216	+4VLO	In	
117		Spare		217		Spare	
118	K+28VH	In	28 VDC Mixed	218		Spare	
119	FOP-HI	In (LEM) | NC (CSM)	Outer	219		Spare	
120	FZHI	In		220		Spare	
121	FCDUZL	Out	CDUZ Indicate LEM Abort Guidance Signal	221	O+14TP	Out	Optics +14V
122	FCDUZH	Out	CDUZ Indicate LEM Abort Guidance Signal	222	E+14V	Out	Optics +14V
123	O+28VH	In		223	IJMPA	In (LEM) | NC (CSM)	Abort Guidance Interconnections for LEM Only | 
124	D+14V	Out	Optics +14V	224	+4VLO	In	
125	TRNIHI	Out	RR / Optics Trunnion Interrogate to Trunnion EC&L Module	225	TRNILO	Out	RR / Optics Trunnion Interrogate to Trunnion EC&L Module
126		Spare		226		Spare	
127		Spare		227		Spare	
128		Spare		228		Spare	
129		Spare		229		Spare	
130		Spare		230		Spare	
131		Spare		231		Spare	
132	+4VLO	In		232	IJMPC	Out	
133		Spare		233		Spare	
134	+4VLO	In		234		Spare	
135		Spare		235		Spare	
136		Spare		236		Spare	
137	ECSRFH | 	In (CSM) | NC (LEM)	Trunnion cos(Θ-Ψ) from MSA module (90°)	237		Spare	
138	SREF1L	Out	Ref ∠0° Shaft to EC&L Modules	238	IJMPB	Out	
139	SHIHI	Out	RR / Optics Shaft Interrogate to OP7 EC&L Module	239	TREF1L	Out (CSM) | NC (LEM)	Ref ∠45° Trunnion to EC&L Modules
140		Spare		240	SHILO	Out	RR / Optics Shaft Interrogate to OP7 EC&L Module
141		Spare		241		Spare	
142		Spare		242	TREF1H	Out (CSM) | NC (LEM)	Ref ∠45° Trunnion to EC&L Modules
143		Spare		243		Spare	
144		Spare		244		Spare	
145		Spare		245		Spare	
146	ECSRFL	In	Trunnion cos(Θ-Ψ) from MSA module (90°)	246		Spare	
147		Spare		247		Spare	
148		Spare		248	SREF1H	Out	Ref ∠0° Shaft to EC&L Modules
149	O28RFL	In	Optics 28V 800 CPS 1%	249		Spare	
150	ECSRFL	In	Trunnion cos(Θ-Ψ) from MSA module (90°)	250		Spare	
151		Spare		251		Spare	
152		Spare		252	O28RFH	In	Optics 28V 800 CPS 1%
153	_CHASS	In	Structure Ground	253		Spare	
154	IJMPC	In		254		Spare	
155		Spare		255		Spare	
156		Spare		256	ISSILO	Out	ISS Interrogate to ISS EC&L modules
157		Spare		257		Spare	
158	ISSIHI	Out	ISS Interrogate to ISS EC&L modules	258		Spare	
159		Spare		259	O+28VH	In	Optics 28VDC
160	+4VLO	In	+4VDC Ret	260	+4VHI	In	+4VDC
161		Spare		261	UREF1L	Out	Ref ∠0° to ISS EC&L Modules
162		Spare		262		Spare	
163		Spare		263	UREF1H	Out	Ref ∠0° to ISS EC&L Modules
164	U28RFL	In	ISS 28V 800 CPS 1%	264		Spare	
165		Spare		265		Spare	
166		Spare		266		Spare	
167	+4VLO	In	To +4V Ret	267		Spare	
168	51KPLO	Out	51.2K PPS to Dig Mode Module	268	U28RFH	In	ISS 28V 800 CPS 1%
169	IJMPB	In		269	51KPHI	Out	51.2K PPS to Dig Mode Module
170	CLOCKL	In	51.2K PPS From AGC	270		Spare	
171	CLOCKH	In	51.2K PPS From AGC	271	U+28VH	In	ISS 28VDC
