101	AT+PGH	Out	Inner Gimbal +ΔΘG hi to AGC	201	AT+PGL	Out	Inner Gimbal +ΔΘG lo to AGC	301		Spare	
102	AT-PGH	Out	Inner Gimbal -ΔΘG hi to AGC	202	AT-PGL	Out	Inner Gimbal -ΔΘG lo to AGC	302		Spare	
103	BT+PGH	Out	Middle Gimbal +ΔΘG hi to AGC	203	BT+PGL	Out	Middle Gimbal +ΔΘG lo to AGC	303		Spare	
104	BT-PGH	Out	Middle Gimbal -ΔΘG hi to AGC	204	BT-PGL	Out	Middle Gimbal -ΔΘG lo to AGC	304		Spare	
105	CT+PGH	Out	Outer Gimbal +ΔΘG hi to AGC	205	CT+PGL	Out	Outer Gimbal +ΔΘG lo to AGC	305		Spare	
106	CT-PGH	Out	Outer Gimbal -ΔΘG hi to AGC	206	CT-PGL	Out	Outer Gimbal -ΔΘG lo to AGC	306		Spare	
107	AF+PCH	In	Inner Gimbal +ΔΘC hi from AGC	207	AF+PCL	In	Inner Gimbal +ΔΘC lo from AGC	307	AF-PCH	In	Inner Gimbal -ΔΘC hi from AGC
108	AF-PCL	In	Inner Gimbal -ΔΘC lo from AGC	208	BF+PCH	In	Middle Gimbal +ΔΘC hi from AGC	308	BF+PCL	In	Middle Gimbal +ΔΘC lo from AGC
109	BF-PCH	In	Middle Gimbal -ΔΘC hi from AGC	209	BF-PCL	In	Middle Gimbal -ΔΘC lo from AGC	309	CF+PCH	In	Outer Gimbal +ΔΘC hi from AGC
110	CF+PCL	In	Outer Gimbal +ΔΘC lo from AGC	210	CF-PCH	In	Outer Gimbal -ΔΘC hi from AGC	310	CF-PCL	In	Outer Gimbal -ΔΘC lo from AGC
111		Spare		211		Spare		311		Spare	
112	ISSIHI	In	ISS Interrogate to ISS EC&L modules	212	ISSILO	In	ISS Interrogate to ISS EC&L modules	312	ISSI2H	In	I2 ISS To EC&L Modules
113	ISSI2L	In	I2 ISS To EC&L Modules	213	ISSI3H	In	I3 ISS To EC&L Modules	313	ISSI3L	In	I3 ISS To EC&L Modules
114	FAZ1HI	In	Φ1 To EC&L Modules	214	FAZ1LO	In	Φ1 lo to EC&L Modules	314	FAZ2HI	In	Φ2 hi to EC&L Modules
115	FAZ2LO	In	Φ2 lo to EC&L Modules	215	FAZ2HI/	In	Φ2/ hi to EC&L and Read Counter Modules	315	FAZ2LO/	In	Φ2/ lo to EC&L and Read Counter Modules
116	FAZ3HI	In	Φ3 hi To EC&L and Read Counter Modules	216	FAZ3LO	In	Φ3 lo to EC&L and Read Counter Modules	316	FAZ4CA	In	12.8k pps Φ4 Coarse Align to EC&L Modules
117	FAZ4LO	In	12.8k pps Φ4 lo to EC&L Modules	217	800LHI	In	800 PPS Φ4L to EC&L Modules	317	800LLO	In	800 PPS Φ4L to EC&L Modules
118	UREF1H	In	Ref ∠0° hi to ISS EC&L Modules	218	UREF1L	In	Ref ∠0° lo to ISS EC&L Modules	318	UINHRC	In	Inhibit Read Counter to EC&L Modules
119	AAO	In	Ambiguity Override to I.G. EC&L Module	219	BAO	In	Ambiguity Override to M.G. EC&L Module	319	CAO	In	Outer Ambiguity Override to O.G. EC&L Module
120	ACA	In	Inner Coarse Align to I.G. EC&L Module	220	BCA	In	Middle Coarse Align to M.G. EC&L Module	320	CCA	In	Outer Coarse Align to O.G. EC&L Module
121	AEEC	In	Enable Error Counter E to I.G. EC&L Module	221	BEEC	In	Enable Error Counter E to M.G. EC&L Module	321	CEEC	In	Enable Error Counter E to O.G. EC&L Module
122	AQ	In	Turn On Enable to I.G. Read Counter Module	222	BQ	In	Turn On Enable to M.G. Read Counter Module	322	CQ	In	Outer Turn On Enable to O.G. Read Counter Module
123	ACDUZ	In	ISS CDU Zero (Z) to I.G. Read Counter Module	223	BCDUZ	In	ISS CDU Zero (Z) to M.G. Read Counter Module	323	CCDUZ	In	ISS CDU Zero (Z) to O.G. Read Counter Module
124	ARSETB	Out	Inner Ambiguity Reset B from Read Counter Module	224	BRSETB	Out	Middle Ambiguity Reset B from Read Counter Module	324	CRSETB	Out	Outer Ambiguity Reset B from Read Counter Module
125	AADHI	Out	Inner Ambiguity Detect from Coarse Module	225	AADLO	Out	Inner Ambiguity Detect from Coarse Module	325	BADHI	Out	Middle Ambiguity Detect from Coarse Module
126	BADLO	Out	Middle Ambiguity Detect from Coarse Module	226	CADHI	Out	Outer Ambiguity Detect from Coarse Module	326	CADLO	Out	Outer Ambiguity Detect From Coarse Module
127		Spare		227		Spare		327		Spare	
128		Spare		228	AFINER	Out	Inner Fine Error from I.G. MSA&QR Module	328	BFINER	Out	Middle Fine Error from M.G. MSA&QR Module
129	CFINER	Out	Outer Fine Error from O.G. MSA&QR Module	229	ACRSER	Out	Inner Coarse Error from I.G. Coarse Module	329	BCRSER	Out	Middle Coarse Error from M.G. Coarse Module
130	CCRSER	Out	Outer Coarse Error from O.G. Coarse Module	230	ACSRFH	Out	Inner cos(Θ-Ψ) < 90° Signal from I.G. MSA&QR Module	330	BCSRFH	Out	Middle cos(Θ-Ψ) < 90° Signal from M.G. MSA&QR Module
131	CCSRFH	Out	Outer cos(Θ-Ψ) < 90° Signal from O.G. MSA&QR Module	231	AUPLVL	Out	Inner Read Counter Up Line from I.G Read Counter	331	BUPLVL	Out	Middle Read Counter Up Line from M.G. Read Counter
132	CUPLVL	Out	Outer Read Counter Up Line from O.G. Read Counter	232	AMTPA	Out	Inner gimbal fine error T.P. from I.G. MSA&QR Module	332	BMTPA	Out	Middle gimbal fine error T.P. from M.G. MSA&QR Module
