101	ET-PGS	NC	Trunnion -ΔΘG shield	201	ET-PGL	In	Trunnion -ΔΘG lo to AGC	301	ET-PGH	In	Trunnion -ΔΘG hi to AGC	401	ET+PGS	NC	Trunnion +ΔΘG shield	501	ET+PGL	In	Trunnion +ΔΘG lo to AGC	601	ET+PGH	In	Trunnion +ΔΘG hi to AGC
102	DT-PGS	NC	Shaft -ΔΘG shield	202	DT-PGL	In	Shaft -ΔΘG lo to AGC	302	DT-PGH	In	Shaft -ΔΘG hi to AGC	402	DT+PGS	NC	Shaft +ΔΘG shield	502	DT+PGL	In	Shaft +ΔΘG lo to AGC	602	DT+PGH	In	Shaft +ΔΘG hi to AGC
103	CT-PGS	NC	Outer Gimbal -ΔΘG shield	203	CT-PGL	In	Outer Gimbal -ΔΘG lo to AGC	303	CT-PGH	In	Outer Gimbal -ΔΘG hi to AGC	403	CT+PGS	NC	Outer Gimbal +ΔΘG shield	503	CT+PGL	In	Outer Gimbal +ΔΘG lo to AGC	603	CT+PGH	In	Outer Gimbal +ΔΘG hi to AGC
104	BT-PGS	NC	Middle Gimbal -ΔΘG shield	204	BT-PGL	In	Middle Gimbal -ΔΘG lo to AGC	304	BT-PGH	In	Middle Gimbal -ΔΘG hi to AGC	404	BT+PGS	NC	Middle Gimbal +ΔΘG shield	504	BT+PGL	In	Middle Gimbal +ΔΘG lo to AGC	604	BT+PGH	In	Middle Gimbal +ΔΘG hi to AGC
105	AT-PGS	NC	Inner Gimbal -ΔΘG shield	205	AT-PGL	In	Inner Gimbal -ΔΘG lo to AGC	305	AT-PGH	In	Inner Gimbal -ΔΘG hi to AGC	405	AT+PGS	NC	Inner Gimbal +ΔΘG shield	505	AT+PGL	In	Inner Gimbal +ΔΘG lo to AGC	605	AT+PGH	In	Inner Gimbal +ΔΘG hi to AGC
106	EF-PCS	NC	Trunnion -ΔΘC shield	206	EF-PCL	Out	Trunnion -ΔΘC lo from AGC	306	EF-PCH	Out	Trunnion -ΔΘC hi from AGC	406	EF+PCS	NC	Trunnion +ΔΘC shield	506	EF+PCL	Out	Trunnion +ΔΘC lo from AGC	606	EF+PCH	Out	Trunnion +ΔΘC hi from AGC
107	DF-PCS	NC	Shaft -ΔΘC shield	207	DF-PCL	Out	Shaft -ΔΘC lo from AGC	307	DF-PCH	Out	Shaft -ΔΘC hi from AGC	407	DF+PCS	NC	Shaft +ΔΘC shield	507	DF+PCL	Out	Shaft +ΔΘC lo from AGC	607	DF+PCH	Out	Shaft +ΔΘC hi from AGC
108	CF-PCS	NC	Outer Gimbal -ΔΘC shield	208	CF-PCL	Out	Outer Gimbal -ΔΘC lo from AGC	308	CF-PCH	Out	Outer Gimbal -ΔΘC hi from AGC	408	CF+PCS	NC	Outer Gimbal +ΔΘC shield	508	CF+PCL	Out	Outer Gimbal +ΔΘC lo from AGC	608	CF+PCH	Out	Outer Gimbal +ΔΘC hi from AGC
109	BF-PCS	NC	Middle Gimbal -ΔΘC shield	209	BF-PCL	Out	Middle Gimbal -ΔΘC lo from AGC	309	BF-PCH	Out	Middle Gimbal -ΔΘC hi from AGC	409	BF+PCS	NC	Middle Gimbal +ΔΘC shield	509	BF+PCL	Out	Middle Gimbal +ΔΘC lo from AGC	609	BF+PCH	Out	Middle Gimbal +ΔΘC hi from AGC
110	AF-PCS	NC	Inner Gimbal -ΔΘC shield	210	AF-PCL	Out	Inner Gimbal -ΔΘC lo from AGC	310	AF-PCH	Out	Inner Gimbal -ΔΘC hi from AGC	410	AF+PCS	NC	Inner Gimbal +ΔΘC shield	510	AF+PCL	Out	Inner Gimbal +ΔΘC lo from AGC	610	AF+PCH	Out	Inner Gimbal +ΔΘC hi from AGC
111	CLOCKS	NC	51.2K PPS shield	211	CLOCKL	Out	51.2K PPS lo from AGC	311	CLOCKH	Out	51.2K PPS hi from AGC	411	SATOP	In (CSM) | Spare (LEM)	S/C Control of Saturn Operate	511	GCAPOP	In (CSM) | Spare (LEM)	GN&C A/P Control Operate	611	IMUOPR	In	IMU Operate Signal to AGC
112	AGCTVC	Out	TVC Enable from AGC	212	AGCSAT	Out (CSM) | Spare (LEM)	SIVB Takeover Enable	312	AGCRRZ	Out	Opt/RR CDU Zero from AGC	412	AGCDAE	Out	Rend. Radar or Optics Enable Error Counter from AGC	512	AGCZ	Out	ISS CDU Zero from AGC	612	AGCEEC	Out	ISS Error Counter Enable from AGC
113	AGCCA	Out	ISS Coarse Align Enable from AGC	213	UFAIL	In	ISS CDU Fail to AGC	313	OFAIL	In	Optics CDU Fail to AGC	413		Spare		513		Spare		613		Spare	
114		Spare		214		Spare		314		Spare		414		Spare		514		Spare		614		Spare	
115	FI+PGH	In (LEM) | Spare (CSM)	+ΔΘG Inner LEM Abort Guidance Signal	215	FI+PGL	In (LEM) | Spare (CSM)	+ΔΘG Inner LEM Abort Guidance Signal	315	FI-PGH	In (LEM) | Spare (CSM)	-ΔΘG Inner LEM Abort Guidance Signal	415	FI-PGL	In (LEM) | Spare (CSM)	-ΔΘG Inner LEM Abort Guidance Signal	515	FM+PGH	In (LEM) | Spare (CSM)	+ΔΘG Middle LEM Abort Guidance Signal	615	FM+PGL	In (LEM) | Spare (CSM)	+ΔΘG Middle LEM Abort Guidance Signal
116	FM-PGH	In (LEM) | Spare (CSM)	-ΔΘG Middle LEM Abort Guidance Signal	216	FM-PGL	In (LEM) | Spare (CSM)	-ΔΘG Middle LEM Abort Guidance Signal	316	FO+PGH	In (LEM) | Spare (CSM)	+ΔΘG Outer LEM Abort Guidance Signal	416	FO+PGL	In (LEM) | Spare (CSM)	+ΔΘG Outer LEM Abort Guidance Signal	516	FO-PGH	In (LEM) | Spare (CSM)	-ΔΘG Outer LEM Abort Guidance Signal	616	FO-PGL	In (LEM) | Spare (CSM)	-ΔΘG Outer LEM Abort Guidance Signal
117	FCDUZH	In (LEM) | Spare (CSM)	CDUZ Indicate LEM Abort Guidance Signal	217	FCDUZL	In (LEM) | Spare (CSM)	CDUZ Indicate LEM Abort Guidance Signal	317		Spare		417		Spare		517		Spare		617		Spare	
118		Spare		218		Spare		318		Spare		418		Spare		518		Spare		618		Spare	
119	+4VLO	In	Test Point Common from 4V Power Supply	219	ATPPI	In	Inner Gimbal PI T.P. from I.G. EC&L Module	319	BTPPI	In	Middle Gimbal PI T.P. from M.G. EC&L Module	419	CTPPI	In	Outer Gimbal PI T.P. from O.G. EC&L Module	519	DTPPI	In	Shaft PI T.P. from Shaft EC&L Module	619	ETPPI	In	Trunnion PI T.P. from Trunnion EC&L Module
120	ATPUG	In	Inner Gimbal Up Level T.P. from I.G. EC&L Module	220	BTPUG	In	Middle Gimbal Up Level T.P. from M.G. EC&L Module	320	CTPUG	In	Outer Gimbal Up Level T.P. from O.G. EC&L Module	420	DTPUG	In	Shaft Up Level T.P. from Shaft EC&L Module	520	ETPUG	In	Trunnion Up Level T.P. from Trunnion EC&L Module	620	AMTPA	In	Inner gimbal fine error T.P. from I.G. MSA&QR Module
121	ACTPA	In	Inner gimbal coarse error T.P. from I.G. Coarse Module	221	BMTPA	In	Middle gimbal fine error T.P. from M.G. MSA&QR Module	321	BCTPA	In	Middle gimbal coarse error T.P. from M.G. Coarse Module	421	CMTPA	In	Outer gimbal fine error T.P. from O.G. MSA&QR Module	521	CCTPA	In	Outer gimbal coarse error T.P. from O.G. Coarse Module	621	DMTPA	In	Shaft fine error T.P. from Shaft MSA&QR Module
122	DCTPA	In (LEM) | Spare (CSM)	Shaft coarse error T.P. from Shaft Coarse Module	222	EMTPA	In	Trunnion fine error T.P. from Trunnion MSA&QR Module	322	ECTPA	In (LEM) | Spare (CSM)	Trunnion coarse error T.P. from Trunnion Coarse Module	422	+4VTP	In	+4V P.S. Test Point	522	U+14TP	In	TP +14V DC ISS	622	O+14TP	In	TP +14V DC RR/OPTX
123	DTPAD	In (LEM) | Spare (CSM)	Shaft AD T.P. from Shaft EC&L Module	223	ETPAD	In (LEM) | Spare (CSM)	Trunnion AD T.P. from Trunnion EC&L Module	323	ATPAD	In	Inner Gimbal AD T.P. from I.G. EC&L Module	423	BTPAD	In	Middle Gimbal AD T.P. from M.G. EC&L Module	523	CTPAD	In	Outer Gimbal AD T.P. from O.G. EC&L Module	623	ATPF1	In	Inner Gimbal F1 T.P. from I.G. EC&L Module
124	ATPF2	In	Inner Gimbal F2 T.P. from I.G. EC&L Module	224	ATPC1	In	Inner Gimbal C1 T.P. from I.G. EC&L Module	324	BTPF1	In	Middle Gimbal F1 T.P. from M.G. EC&L Module	424	BTPF2	In	Middle Gimbal F2 T.P. from M.G. EC&L Module	524	BTPC1	In	Middle Gimbal C1 T.P. from M.G. EC&L Module	624	CTPF1	In	Outer Gimbal F1 T.P. from O.G. EC&L Module
125	CTPF2	In	Outer Gimbal F2 T.P. from O.G. EC&L Module	225	CTPC1	In	Outer Gimbal C1 T.P. from O.G. EC&L Module	325	DTPF1	In	Shaft F1 T.P. from Shaft EC&L Module	425	DTPF2	In	Shaft F2 T.P. from Shaft EC&L Module	525	DTPC1	In (LEM) | Spare (CSM)	Shaft C1 T.P. from Shaft EC&L Module	625	ETPF1	In	Trunnion F1 T.P. from Trunnion EC&L Module
